,,,,,,,,,,,
Estações,Bairros,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rede Sarah,Jacarepaguá,-,-,  357 333,  758 004,  660 140,  570 077,  531 248,  496 077,  159 733,  246 365
Ricardo Marinho,Barra da Tijuca,-,-,-,-,  332 554,  920 210,  861 192,  866 625,  416 717,  420 384
Rio 2,Jacarepaguá,-,-,  839 737, 2 154 120, 2 611 547, 1 202 679, 1 299 380, 1 254 140,  741 955,  792 312
Rio Centro,Barra Da Tijuca,-,-,-,-,  151 160,  208 215,  138 962,  179 665,  111 280,  64 150
Rio Centro - Etransport,Barra Da Tijuca,-,-,-,   3,-,-,-,-,-,-
Riomar,Barra da Tijuca,  43 690,  128 908,  218 216,  395 957,  441 907,  358 024,  271 741,  228 632,  85 087,  120 916
Riviera,Barra da Tijuca,-,-,-,-,  241 983,  653 655,  568 088,  529 597,  275 934,  260 351
Rock In Rio,Barra da Tijuca,-,-,-,-,-,  413 001,-,-,-,-
Salvador Allende,Recreio,  581 948, 2 387 062, 3 303 947, 3 505 965, 2 871 680, 3 719 345, 3 676 991, 3 341 732, 2 093 270, 2 145 732
Santa Efigênia,Taquara,-,-,  770 604, 2 755 139, 3 150 276, 2 279 163, 1 963 658, 1 886 341, 1 063 086, 1 069 750
Santa Eugênia (Paciência),Paciência,  13 459, 1 266 363, 1 491 575, 1 812 763, 1 606 551, 1 417 363,  452 247,   2,  60 952,  225 911
Santa Luzia,Ramos,-,-,  141 742, 1 017 015, 1 004 057,  741 582,  483 865,  431 262,  119 537,  130 392
Santa Mônica Jardins,Barra da Tijuca,  75 544,  195 358,  324 383,  564 214,  678 612,  552 902,  506 160,  523 867,  311 389,  285 588
Santa Veridiana,Santa Cruz,  192 670,  411 379,  443 750,  461 254,  454 889,  489 552,  321 258,  298 522,  248 575,  180 240
São Jorge,Inhoaíba,-,-,  294 797,  365 458,  310 223,  241 837,  62 397,-,-,  35 410
Tanque ( Terminal Mestre Candeia ),Tanque,-,-, 1 074 223, 3 253 016, 4 808 650, 3 645 005, 3 363 741, 2 902 091, 1 507 474, 1 133 654
Tapebuias,Recreio,-,-,-,-,  21 542,  58 875,  60 213,  64 026,  21 781,  16 305
Taquara ( Terminal Bandeira Brasil ),Taquara,-,-, 2 828 437, 7 046 462, 6 493 036, 4 746 538, 4 462 218, 4 080 001, 2 191 051, 1 847 879
Terminal Alvorada,Barra da Tijuca, 2 588 763, 7 819 234, 12 336 029, 17 337 422, 14 169 400, 6 522 411, 6 034 050, 5 744 639, 3 950 665, 4 740 119
Terminal Campo Grande,Campo Grande,-,-, 1 726 663, 2 768 016, 2 534 882, 1 765 924,  513 988,  15 704,  151 641,  419 094
Terminal Centro Olímpico,Jacarepaguá,-,-,-,-,  541 563,  156 802,  101 640,  158 315,  30 283,  18 544
Terminal Fundão ( Aroldo Melodia ),Galeão,-,-,  324 992, 2 702 512, 3 085 799, 2 595 525, 2 167 497, 1 781 285,  670 656,  533 224
Terminal Jardim Oceânico,Barra da Tijuca,-,-,-,-, 3 707 395, 9 041 305, 9 702 430, 10 740 744, 3 880 425, 3 273 734
Terminal Paralímpico Recreio,Recreio,-,-,-,-,  739 930, 2 203 431, 2 292 548, 2 621 964, 1 609 268, 1 727 943
Terminal Santa Cruz,Santa Cruz, 1 731 145, 3 481 271, 4 577 513, 5 116 295, 4 443 094, 3 299 543, 3 604 673, 3 567 952, 2 447 783, 2 206 267
Terminal Sulacap,Vila Militar,-,-,-,-,  201 876, 1 072 165, 1 221 242, 1 742 764,  826 835,  869 870
Três Pontes,Santa Cruz,-,  135 491,  397 026,  390 959,  242 373,  245 928,  71 141,-,-,  38 159
Vaz Lobo,Vaz Lobo,-,-,  98 316,  444 860,  386 328,  275 239,  209 768,  184 483,  108 188,  67 799
Vendas De Varanda,Santa Cruz,  208 148,  366 298,  365 829,  338 437,  283 789,  251 955,  198 470,  163 934,  28 599,  7 094
Ventura,Jacarepaguá,-,-,-,-,  57 050,  263 326,  256 417,  216 024,  100 490,  100 484
Via Parque,Barra da Tijuca,-,-,  821 867, 1 942 703, 1 901 466, 1 966 343, 1 981 862, 2 059 099, 1 123 840, 1 216 103
Vicente De Carvalho,Vicente de Carvalho,-,-, 1 090 481, 3 595 776, 3 962 331, 2 780 769, 2 451 995, 2 304 577, 1 179 193,  918 976
Vila Kosmos - Nossa Senhora Do Carmo,Vicente de Carvalho,-,-,  187 746,  921 268,  835 694,  560 601,  430 071,  387 083,  88 306,  113 435
Vila Militar,Vila MIlitar,-,-,-,-,  242 024,  756 187,  972 931,  973 737,  615 353,  768 771
Vila Paciência,Santa Cruz,-,  75 610,  37 539,-,-,-,   374,-,-,  18 180
Vila Queiroz,Madureira,-,-,  71 119,  287 278,  101 889,  151 380,  138 396,  149 509,  40 539,  32 843
Vila Sapê (Iv Centenário),Jacarepaguá,-,-,  222 230,  558 803,  607 412,  508 408,  393 184,  324 370,  248 777,  281 103
Vilar Carioca,Inhoaíba,-,  1 995,  567 257,  588 171,  580 195,  474 458,  98 650,-,-,  61 171
Villa Mix,Barra da Tijuca,-,-,-,-,-,  13 015,-,-,-,-
